imie;nazwisko;narodowoœæ;data urodzenia;miejsce urodzenia;pesel;numer telefonu;adres zamieszkania;identyfikator pacjenta
Ada;Kowalska;polska;03.10.1949;Wolin;49100324225;959116407;Gdañsk, ul.Polna 36/16;1
Adrian;Sadowski;polska;24.09.2002;Ruda Œl¹ska;2292425730;628001920;Gdañsk, ul.Leœna 27/10;2
Agata;G³owacka;polska;24.05.1934;Miros³awiec;34052459444;821142421;Sopot, ul.S³oneczna 4/14;3
Aisha;W³odarczyk;polska;03.06.1980;Cybinka;80060316145;737263996;Gdañsk, ul.Krótka 58/12;4
Alana;Lewandowski;polska;25.06.1938;Buk;38062561445;686276650;Gdañsk, ul.Szkolna 27/7;5
Alana;Baranowska;polska;07.02.1946;£abiszyn;46020768746;833201692;Gdañsk, ul.Ogrodowa 22/5;6
Aleks;Sadowska;polska;25.09.2003;Grajewo;3292518536;796941539;Gdynia, ul.Lipowa 63/14;7
Aleksandra;Pietrzak;polska;24.03.1995;Zelów;95032435849;918782215;Gdynia, ul.£¹kowa 15/3;8
Aleksy;Malinowski;polska;10.10.1955;Barwice;55101096852;809002338;Gdañsk, ul.Brzozowa  18/3;9
Alexander;D¹browski;polska;06.05.2010;Reda;10250632553;913506727;Gdañsk, ul.Kwiatowa 62/11;10
Alina;Tomaszewski;polska;19.06.2005;Margonin;5261940506;550606110;Gdañsk, ul.1 Maja 34/6;11
Alojzy;Kaczmarczyk;polska;29.06.2014;Witkowo;14262957453;665790146;Gdañsk, ul.Abrahama 12/16;12
Amanda;Sikorska;polska;09.09.1963;Radzyñ Podlaski;63090921462;515645104;Gdañsk, ul.3 Maja 39/4;13
Anastazja;Przybylski;polska;03.07.1963;Sêpólno Krajeñskie;63070338727;847992366;Gdañsk, ul.Nauczycielska 2/1;14
Anastazja;Lis;polska;08.07.1993;Miastko;93070844667;563290642;Gdynia, ul.Chopina 2/16;15
Anastazja;Krawczyk;polska;26.06.1936;Pieszyce;36062666184;682369399;Gdañsk, ul.Ch³odna 2/16;16
Anastazy;Krawczyk;polska;19.02.1937;Lubliniec;37021956599;717774637;Sopot, ul.Abrahama 30/2;17
Anastazy;Wiœniewski;polska;05.10.1989;Wadowice;89100555751;734795116;Gdañsk, ul.Akacjowa 39/13;18
Anatolia;Maciejewski;polska;12.05.2020;Boguchwa³a;20251210463;782566310;Gdañsk, ul.Aksamitna 56/7;19
Angelika;Baranowski;polska;29.01.1994;G³ubczyce;94012943303;796810637;Gdañsk, ul.Aldony 66/18;20
Ariel;G³owacka;polska;19.07.1996;Miêdzybórz;96071918959;855939863;Gdañsk, ul.Ch³opska 54/8;21
Bart³omiej;Maciejewski;polska;27.02.1934;£ask;34022716317;753539187;Gdañsk, ul.Aleja Zwyciêstwa 52/8;22
Bartosz;Nowak;polska;16.01.2012;Przysucha;12211619638;684510350;Sopot, ul.Andersa 9/10;23
Bianka;Michalak;polska;12.05.1987;Szczytno;87051280867;969492080;Gdañsk, ul.Angielska Grobla 14/2;24
Bogus³awa;Zió³kowska;polska;11.12.1974;Pi³awa Górna;74121167601;792855534;Gdañsk, ul.Architektów 30/7;25
Boles³aw;Jasiñski;polska;10.04.1958;Wolbrom;58041052834;636133545;Gdañsk, ul.Arkoñska 17/17;26
Borys;Malinowski;polska;17.11.1992;Morawica;92111755854;955740712;Gdynia, ul.S³upska 7/20;27
Celina;Przybylski;polska;18.07.2008;Zator;8271886622;765825491;Gdynia, ul.Armii Krajowej 32/8;28
Cyprian;Malinowski;polska;02.01.1933;Strzelin;33010263196;716586265;Gdañsk, ul.Ko³obrzeska 11/13;29
Czes³awa;Soko³owski;polska;25.06.1934;KuŸnia Raciborska;34062540280;821312721;Gdañsk, ul.Augustyñskiego 62/10;30
Czes³awa;KaŸmierczak;polska;29.09.1967;Wieleñ;67092959823;996297077;Gdañsk, ul.Bajki 46/13;31
Damian;Koz³owski;polska;05.01.1941;Ostrowiec Œwiêtokrzyski;41010556413;737657723;Gdañsk, ul.Batorego 64/15;32
Daniel;Wójcik;polska;04.06.1989;Dobrodzieñ;89060483532;591668123;Gdañsk, ul.Ba³tycka 16/3;33
Daniel;Baran;polska;21.08.1966;Lubomierz;66082151616;953973380;Gdañsk, ul.Ba³tycka 40/14;34
Daniela;Krupa;polska;27.11.1996;¯yrardów;96112712023;774727502;Gdynia, ul.Bednarska 35/15;35
Danuta;Zawadzka;polska;25.06.1979;Goleniów;79062560904;665677767;Gdañsk, ul.Beethovena 56/18;36
Daria;Nowak;polska;01.06.1961;Wa³cz;61060120284;655809827;Sopot, ul.Dworcowa 65/9;37
Daria;Lis;polska;18.03.2012;Kolbuszowa;12231863121;583751112;Gdañsk, ul.Bema 10/14;38
Daria;G³owacka;polska;14.03.2015;Stawiski;15231490908;665846478;Gdañsk, ul.Beniowskiego 55/14;39
Denis;Jaworski;polska;23.02.1947;Knurów;47022325458;716990145;Gdañsk, ul.Bia³a 10/18;40
Diana;Wójcik;polska;30.03.1962;Krzepice;62033096841;963665455;Gdañsk, ul.Bielañska 27/8;41
Diana;Chmielewska;polska;11.08.2011;Sulechów;11281143384;584443054;Gdañsk, ul.Biskupia 34/2;42
Dorian;Nowak;polska;12.06.1981;Sopot;81061275677;672207239;Sopot, ul.Bitwy Oliwskiej 56/8;43
Edyta;Kwiatkowska;polska;04.08.1997;Wieliczka;97080456083;623848821;Gdañsk, ul.Bitwy pod P³owcami 27/14;44
Elena;Brzeziñska;polska;06.10.1956;Witnica;56100680884;853462945;Gdañsk, ul.Bliska 1/18;45
Emilia;Krupa;polska;22.07.1951;Œwidnik;51072228180;686357042;Gdañsk, ul.Boczna 5/5;46
Emilia;Kwiatkowska;polska;02.10.1951;¯nin;51100292305;814020095;Gdynia, ul.Bogus³awskiego 19/8;47
Ernest;Piotrowski;polska;30.07.2014;Œwinoujœcie;14273024991;782870154;Gdynia, ul.Grottgera 36/4;48
Eustachy;Szymañski;polska;28.05.1952;Wi¹zów;52052827698;789287738;Gdañsk, ul.Boh. Getta Warszawskiego 66/8;49
Ewa;Wróblewska;polska;30.11.1976;Niemodlin;76113094649;953226712;Gdañsk, ul.Jana z Kolna 43/1;50
Faustyna;Wasilewska;polska;12.04.1973;Halinów;73041213243;527470005;Gdañsk, ul.Bora Komorowskiego 22/10;51
Felicja;Koz³owski;polska;26.08.1947;Zakopane;47082686386;981021402;Gdañsk, ul.Hucisko 41/2;52
Florencja;B³aszczyk;polska;05.02.2019;Toszek;19220574062;636076894;Gdañsk, ul.Bosmañska 47/19;53
Florencja;Kowalska;polska;02.06.1971;B³a¿owa;71060238403;706129150;Gdañsk, ul.Braci Lewoniewskich 30/2;54
Franciszka;Baran;polska;10.06.2006;Nowy Tomyœl;6261063660;620206363;Gdynia, ul.Bracka 37/13;55
Gabriel;Duda;polska;29.06.1957;S³omniki;57062955131;912682430;Gdañsk, ul.Browarna 41/20;56
Gabriel;Mazurek;polska;09.05.1945;Choszczno;45050934477;639998910;Sopot, ul.Brukowa 21/16;57
Gniewomir;Michalak;polska;21.04.1946;Polanica-Zdrój;46042175812;604964523;Gdañsk, ul.Brygidki 4/7;58
Gniewomir;Zawadzki;polska;24.02.1990;Lubliniec;90022420692;584067301;Gdañsk, ul.Brzegi 16/12;59
Halina;Witkowska;polska;28.11.1961;Z³otów;61112835966;887567786;Gdañsk, ul.BrzeŸnieñska 47/4;60
Halina;Szewczyk;polska;08.02.1943;Kock;43020824883;802744221;Gdañsk, ul.Jastrzêbia 8/15;61
Hanna;Zió³kowska;polska;23.04.1947;Koprzywnica;47042394740;830133856;Gdañsk, ul.Ja³mu¿nicza 10/1;62
Helena;B³aszczyk;polska;27.03.1993;Gorzów Wielkopolski;93032746444;671573609;Sopot, ul.Jaœkowa Dolina 38/7;63
Hortensja;WoŸniak;polska;28.09.2000;Rejowiec;292834644;617388120;Gdañsk, ul.Jelitkowska 26/18;64
Ida;Kowalska;polska;03.12.1936;Jaworzyna Œl¹ska;36120348845;856078203;Gdañsk, ul.Jesionowa 28/6;65
Iga;Laskowska;polska;15.02.2002;Siedlce;2221586204;556816898;Gdañsk, ul.Jod³owa 51/13;66
Irena;Zieliñski;polska;26.10.1964;¯nin;64102663808;594161471;Gdynia, ul.Joselewicza 44/6;67
Iza;Górska;polska;17.12.1949;£ob¿enica;49121726943;580712365;Gdynia, ul.Junacka 8/10;68
Izabela;Kalinowski;polska;02.04.1954;Mi³akowo;54040280463;557340469;Gdañsk, ul.Kaczeñce 51/14;69
Jagoda;Nowak;polska;31.08.1941;Pieñsk;41083198383;777234172;Gdañsk, ul.Kaletnicza 50/19;70
Janusz;Gajewska;polska;11.06.1932;Grajewo;32061179577;926632442;Gdañsk, ul.Kamienna Grobla 6/16;71
Jaros³aw;Borkowski;polska;04.08.1955;Janikowo;55080452539;866691558;Gdañsk, ul.Kapitañska 54/18;72
Joanna;Jakubowski;polska;06.11.1932;Lewin Brzeski;32110667200;811182390;Gdañsk, ul.Kapliczna 63/13;73
Joanna;Marciniak;polska;12.08.1986;Miñsk Mazowiecki;86081228986;869287571;Gdañsk, ul.Kaprów 15/16;74
Jola;Lewandowski;polska;20.08.1936;Wysoka;36082042665;861148477;Gdynia, ul.Karlikowska 68/17;75
Jolanta;Ostrowska;polska;20.10.1956;Gdañsk;56102051684;846652038;Gdañsk, ul.Karmelicka 66/18;76
Jowita;Urbañska;polska;11.11.1941;Lubomierz;41111129060;844517969;Sopot, ul.Karpia 25/5;77
Jowita;Makowska;polska;08.11.2018;Swarzêdz;18310866449;932435486;Gdañsk, ul.Kartuska 26/14;78
Józef;Wójcik;polska;26.07.1964;Wroc³aw;64072625772;583948656;Gdañsk, ul.Karwieñska 47/18;79
Józef;Wójcik;polska;23.02.1937;Karpacz;37022393236;720639324;Gdañsk, ul.Kar³owicza 27/1;80
Józefa;Kubiak;polska;02.03.1994;Tuchów;94030284301;967169489;Gdañsk, ul.Kasprowicza 15/8;81
Julianna;Andrzejewski;polska;28.10.1982;Kudowa-Zdrój;82102894448;812074427;Gdañsk, ul.Kasprowicza 6/15;82
Julianna;Górski;polska;23.08.1969;Suwa³ki;69082331325;900066194;Sopot, ul.Kasztanowa 45/2;83
Julita;Nowak;polska;07.12.1984;Lidzbark;84120781108;701494702;Gdañsk, ul.Katarzynki 12/19;84
Julita;Zieliñska;polska;16.12.1964;Brwinów;64121672506;970602271;Gdañsk, ul.Kazimierza Wielkiego 69/19;85
Juliusz;Ko³odziej;polska;13.06.2020;Wojkowice;20261350876;781329195;Gdañsk, ul.Kaznodziejska 47/12;86
Justyna;Wróblewski;polska;22.08.1931;Kunów;31082295662;760135145;Gdynia, ul.Kaznodziejska 66/10;87
Kacper;Wojciechowski;polska;07.04.1954;Ostrów Wielkopolski;54040794618;806580434;Gdynia, ul.Kieturakisa 64/17;88
Kaja;Jasiñski;polska;20.05.2004;Iwonicz-Zdrój;4252094145;585887946;Gdañsk, ul.Kiliñskiego 45/17;89
Kajetan;Lis;polska;09.07.2018;Grabów nad Prosn¹;18270969619;854498302;Gdañsk, ul.Kisielewskiego 4/16;90
Katarzyna;Andrzejewska;polska;21.09.2008;Lwówek Œl¹ski;8292165900;703220041;Gdañsk, ul.Klesza 9/11;91
Klaudia;Wójcik;polska;19.04.2012;Z³ocieniec;12241956204;558872570;Gdañsk, ul.Kliniczna 62/20;92
Klaudia;Kubiak;polska;09.03.1961;Frombork;61030986489;594038686;Gdañsk, ul.Klonowa 39/18;93
Klementyna;Ko³odziej;polska;15.06.1963;Szczytno;63061571809;926106217;Gdañsk, ul.Klonowicza 30/8;94
Konstancja;Kwiatkowski;polska;03.02.1942;¯ory;42020361989;696410086;Gdynia, ul.Kmieca 68/15;95
Kornelia;Jakubowski;polska;04.05.2018;Sokó³ka;18250418067;507742862;Gdañsk, ul.Ko³obrzeska 25/4;96
Kornelia;Witkowski;polska;20.09.1946;Piechowice;46092038569;548965333;Sopot, ul.Ko³odziejska 27/4;97
Kornelia;Baran;polska;28.06.2015;Pelplin;15262867746;915471048;Gdañsk, ul.Ko³³¹taja 5/11;98
Korneliusz;Ostrowski;polska;16.08.1992;Pogorzela;92081624912;870656823;Gdañsk, ul.Koœcielna 60/13;99
Krystyna;Andrzejewska;polska;29.10.1953;Janowiec Wielkopolski;53102943500;622777843;Gdañsk, ul.Koœcierska 39/5;100
