Imię;Nazwisko;Narodowość;Data urodzenia;Miejsce urodzenia;Pesel;Nr telefonu;Adres zamieszkania;ID;Historia leczenia;Przyjmowane leki
Ada;Kowalska;polska;03.10.1949;Wolin;49100324225;535042409;Gdańsk, ul.Czerwona 1/5;1;rozpoznanie grypy, rozpoznanie zapalenia oka, szczepienie przeciw COVID, teleporada;Dobrovit, Syropex, Bezanielox, Cholerox, Strzykawex, Uranox
Adrian;Sadowski;polska;24.09.2002;Ruda Śląska;02292425730;628001920;Gdańsk, ul.Leśna 27/10;2;rozpoznanie grypy, szczepienie przeciw grypie, rozpoznanie zapalenia ucha, szczepienie przeciw COVID;Squlex, Katarix, Modulox, Exelix, Kaszelix, Pythonex
Agata;Głowacka;polska;24.05.1934;Mirosławiec;34052459444;821142421;Sopot, ul.Słoneczna 4/14;3;rozpoznanie ospy, rozpoznanie zapalenia ucha, szczepienie przeciw COVID, rozpoznanie anginy;Strzykawex, Javonex, Apaton, Strzykawex, Uranox, Javonex
Aisha;Włodarczyk;polska;03.06.1980;Cybinka;80060316145;737263996;Gdańsk, ul.Krótka 58/12;4;rozpoznanie zapalenia oka, rozpoznanie grypy, teleporada, rozpoznanie zapalenia zatok;Neptunox, Szelazo, Formetic, Letrox,  Xarelto, Neptunox
Alana;Lewandowski;polska;25.06.1938;Buk;38062561445;686276650;Gdańsk, ul.Szkolna 27/7;5;rozpoznanie zapalenia zatok, rozpoznanie zapalenia oka, szczepienie przeciw grypie, rozpoznanie grypy;Pigulex, Dobrovit, Letrox, Apaton, Eltroxin, Pigulex
Alana;Baranowska;polska;07.02.1946;Łabiszyn;46020768746;833201692;Gdańsk, ul.Ogrodowa 22/5;6;rozpoznanie zapalenia oka, wizyta kontrolna, szczepienie przeciw grypie, teleporada;Szelazo, Uroksyt, Pryszczosiox, Uroksyt, Eltroxin, Modulox
Aleks;Sadowska;polska;25.09.2003;Grajewo;03292518536;796941539;Gdynia, ul.Lipowa 63/14;7;rozpoznanie zapalenia zatok, rozpoznanie anginy, rozpoznanie ospy, szczepienie przeciw grypie;Uranox, Kaszelix, Biegunex, Pryszczosiox,  Xarelto, Sennostart
Aleksandra;Pietrzak;polska;24.03.1995;Zelów;95032435849;918782215;Gdynia, ul.Łąkowa 15/3;8;rozpoznanie grypy, szczepienie przeciw COVID, rozpoznanie ospy, szczepienie przeciw grypie;Bezanielox, Javonex, Zaparciovit, Neurospam, Pryszczosiox, Apaton
Aleksy;Malinowski;polska;10.10.1955;Barwice;55101096852;809002338;Gdańsk, ul.Brzozowa  18/3;9;szczepienie przeciw grypie, wizyta kontrolna, rozpoznanie zapalenia zatok, rozpoznanie anginy; Xarelto, Strzykawex, Nerwostop, Dobrovit, Eltroxin, Syropex
Alexander;Dąbrowski;polska;06.05.2010;Reda;10250632553;913506727;Gdańsk, ul.Kwiatowa  62/11;10;szczepienie przeciw COVID, szczepienie przeciw grypie, wizyta kontrolna, rozpoznanie anginy;Modulox, Pythonex, Sennostart, Uroksyt, Formetic, Modulox
Alina;Tomaszewski;polska;19.06.2005;Margonin;05261940506;550606110;Gdańsk, ul.1 Maja 34/6;11;teleporada, rozpoznanie anginy, rozpoznanie ospy, wizyta kontrolna;Bezanielox, Tabletex, Kaszelix, Syropex, Apaton, Luxon
Alojzy;Kaczmarczyk;polska;29.06.2014;Witkowo;14262957453;665790146;Gdańsk, ul.Abrahama 12/16;12;rozpoznanie grypy, rozpoznanie ospy, szczepienie przeciw COVID, rozpoznanie ospy;Pigulex, Syropex, Biegunex, Zaparciovit, Nerwostop, Neptunox
Amanda;Sikorska;polska;09.09.1963;Radzyń Podlaski;63090921462;515645104;Gdańsk, ul.3 Maja 39/4;13;szczepienie przeciw grypie, rozpoznanie zapalenia zatok, rozpoznanie zapalenia zatok, rozpoznanie zapalenia zatok;Letrox, Modulox, Apaton, Luxon, Letrox, Uranox
Anastazja;Przybylski;polska;03.07.1963;Sępólno Krajeńskie;63070338727;847992366;Gdańsk, ul.Nauczycielska 2/1;14;wizyta kontrolna, rozpoznanie zapalenia ucha, teleporada, rozpoznanie zapalenia zatok;Uroksyt, Saturnox, Zaparciovit, Pryszczosiox, Javonex, Sennostart
Anastazja;Lis;polska;08.07.1993;Miastko;93070844667;563290642;Gdynia, ul.Chopina 2/16;15;rozpoznanie zapalenia zatok, rozpoznanie zapalenia zatok, rozpoznanie grypy, rozpoznanie zapalenia ucha;Apaton, Pryszczosiox, Neptunox, Uroksyt, Tabletex, Apaton
Anastazja;Krawczyk;polska;26.06.1936;Pieszyce;36062666184;682369399;Gdańsk, ul.Chłodna 2/16;16;wizyta kontrolna, rozpoznanie grypy, rozpoznanie zapalenia zatok, szczepienie przeciw grypie;Uroksyt, Squlex, Modulox, Sennostart, Modulox, Katarix
Anastazy;Krawczyk;polska;19.02.1937;Lubliniec;37021956599;717774637;Sopot, ul.Abrahama 30/2;17;teleporada, teleporada, rozpoznanie zapalenia oka, rozpoznanie grypy;Modulox, Formetic, Pythonex, Cholerox, Letrox, Zaparciovit
Anastazy;Wiśniewski;polska;05.10.1989;Wadowice;89100555751;734795116;Gdańsk, ul.Akacjowa 39/13;18;szczepienie przeciw COVID, rozpoznanie anginy, rozpoznanie zapalenia oka, rozpoznanie zapalenia zatok;Siofor, Neurospam, Szelazo, Apaton, Squlex, Pigulex
Anatolia;Maciejewski;polska;12.05.2020;Boguchwała;20251210463;782566310;Gdańsk, ul.Aksamitna 56/7;19;rozpoznanie zapalenia ucha, teleporada, rozpoznanie zapalenia zatok, teleporada;Dobrovit, Squlex, Javonex, Biegunex, Sennostart, Luxon
Angelika;Baranowski;polska;29.01.1994;Głubczyce;94012943303;796810637;Gdańsk, ul.Aldony 66/18;20;rozpoznanie zapalenia ucha, szczepienie przeciw COVID, rozpoznanie zapalenia ucha, rozpoznanie ospy;Bezanielox, Eltroxin, Bezanielox, Szelazo, Saturnox, Saturnox
Ariel;Głowacka;polska;19.07.1996;Międzybórz;96071918959;855939863;Gdańsk, ul.Chłopska 54/8;21;wizyta kontrolna, rozpoznanie zapalenia oka, szczepienie przeciw COVID, wizyta kontrolna;Sennostart, Dobrovit, Kaszelix, Javonex, Katarix,  Xarelto
Bartłomiej;Maciejewski;polska;27.02.1934;Łask;34022716317;753539187;Gdańsk, ul.Aleja Zwycięstwa 52/8;22;rozpoznanie anginy, szczepienie przeciw COVID, rozpoznanie zapalenia ucha, rozpoznanie anginy;Kaszelix, Uranox, Pigulex, Apaton, Syropex, Biegunex
Bartosz;Nowak;polska;16.01.2012;Przysucha;12211619638;684510350;Sopot, ul.Andersa 9/10;23;rozpoznanie grypy, rozpoznanie ospy, szczepienie przeciw grypie, rozpoznanie anginy;Cholerox, Bezanielox, Syropex, Saturnox, Katarix, Uranox
Bianka;Michalak;polska;12.05.1987;Szczytno;87051280867;969492080;Gdańsk, ul.Angielska Grobla 14/2;24;rozpoznanie zapalenia oka, rozpoznanie zapalenia zatok, rozpoznanie ospy, rozpoznanie anginy;Tabletex, Uranox, Pigulex, Nerwostop, Siofor, Neurospam
Bogusława;Ziółkowska;polska;11.12.1974;Piława Górna;74121167601;792855534;Gdańsk, ul.Architektów 30/7;25;rozpoznanie zapalenia ucha, szczepienie przeciw COVID, rozpoznanie ospy, szczepienie przeciw grypie;Neurospam, Luxon, Pythonex, Zaparciovit, Dobrovit, Siofor
Bolesław;Jasiński;polska;10.04.1958;Wolbrom;58041052834;636133545;Gdańsk, ul.Arkońska 17/17;26;rozpoznanie zapalenia oka, rozpoznanie anginy, rozpoznanie grypy, szczepienie przeciw COVID;Squlex, Nerwostop, Pryszczosiox,  Xarelto, Pythonex, Eltroxin
Borys;Malinowski;polska;17.11.1992;Morawica;92111755854;955740712;Gdynia, ul.Słupska 7/20;27;wizyta kontrolna, rozpoznanie anginy, rozpoznanie zapalenia ucha, rozpoznanie zapalenia ucha;Apaton, Katarix, Uranox, Eltroxin, Uranox, Pythonex
Celina;Przybylski;polska;18.07.2008;Zator;08271886622;765825491;Gdynia, ul.Armii Krajowej 32/8;28;teleporada, rozpoznanie anginy, rozpoznanie zapalenia ucha, rozpoznanie zapalenia oka;Squlex, Uroksyt, Szelazo, Dobrovit, Syropex, Uranox
Cyprian;Malinowski;polska;02.01.1933;Strzelin;33010263196;716586265;Gdańsk, ul.Kołobrzeska 11/13;29;rozpoznanie anginy, rozpoznanie anginy, rozpoznanie zapalenia oka, wizyta kontrolna;Strzykawex, Eltroxin, Katarix, Siofor, Pigulex, Apaton
Czesława;Sokołowski;polska;25.06.1934;Kuźnia Raciborska;34062540280;821312721;Gdańsk, ul.Augustyńskiego 62/10;30;teleporada, teleporada, rozpoznanie zapalenia ucha, rozpoznanie zapalenia zatok;Strzykawex, Neptunox, Apaton, Neurospam, Tabletex, Pythonex
Czesława;Kaźmierczak;polska;29.09.1967;Wieleń;67092959823;996297077;Gdańsk, ul.Bajki 46/13;31;rozpoznanie zapalenia zatok, rozpoznanie zapalenia zatok, szczepienie przeciw COVID, wizyta kontrolna;Formetic, Uranox, Nerwostop, Syropex, Kaszelix, Nerwostop
Damian;Kozłowski;polska;05.01.1941;Ostrowiec Świętokrzyski;41010556413;737657723;Gdańsk, ul.Batorego 64/15;32;rozpoznanie anginy, rozpoznanie ospy, szczepienie przeciw COVID, rozpoznanie ospy; Xarelto, Eltroxin, Javonex, Zaparciovit, Saturnox, Apaton
Daniel;Wójcik;polska;04.06.1989;Dobrodzień;89060483532;591668123;Gdańsk, ul.Bałtycka 16/3;33;rozpoznanie ospy, rozpoznanie anginy, szczepienie przeciw COVID, rozpoznanie zapalenia oka;Tabletex, Letrox, Pryszczosiox, Zaparciovit, Uranox, Letrox
Daniel;Baran;polska;21.08.1966;Lubomierz;66082151616;953973380;Gdańsk, ul.Bałtycka 40/14;34;rozpoznanie anginy, szczepienie przeciw COVID, teleporada, rozpoznanie zapalenia zatok;Pryszczosiox, Apaton, Pryszczosiox, Nerwostop, Dobrovit, Letrox
Daniela;Krupa;polska;27.11.1996;Żyrardów;96112712023;774727502;Gdynia, ul.Bednarska 35/15;35;rozpoznanie zapalenia ucha, teleporada, rozpoznanie zapalenia oka, teleporada;Luxon, Kaszelix, Kaszelix, Neptunox, Pythonex, Formetic
Danuta;Zawadzka;polska;25.06.1979;Goleniów;79062560904;665677767;Gdańsk, ul.Beethovena 56/18;36;rozpoznanie zapalenia ucha, rozpoznanie anginy, rozpoznanie zapalenia oka, rozpoznanie zapalenia zatok;Katarix, Nerwostop, Bezanielox, Eltroxin, Siofor, Strzykawex
Daria;Nowak;polska;01.06.1961;Wałcz;61060120284;655809827;Sopot, ul.Dworcowa 65/9;37;rozpoznanie zapalenia zatok, rozpoznanie zapalenia oka, rozpoznanie zapalenia oka, wizyta kontrolna;Siofor, Pythonex, Cholerox, Biegunex, Katarix, Siofor
Daria;Lis;polska;18.03.2012;Kolbuszowa;12231863121;583751112;Gdańsk, ul.Bema 10/14;38;wizyta kontrolna, rozpoznanie grypy, rozpoznanie ospy, teleporada;Kaszelix, Bezanielox, Apaton,  Xarelto,  Xarelto, Pryszczosiox
Daria;Głowacka;polska;14.03.2015;Stawiski;15231490908;665846478;Gdańsk, ul.Beniowskiego 55/14;39;wizyta kontrolna, rozpoznanie anginy, teleporada, rozpoznanie ospy;Letrox, Squlex, Exelix, Zaparciovit, Siofor, Modulox
Denis;Jaworski;polska;23.02.1947;Knurów;47022325458;716990145;Gdańsk, ul.Biała 10/18;40;wizyta kontrolna, rozpoznanie grypy, rozpoznanie grypy, rozpoznanie grypy;Sennostart, Pryszczosiox, Saturnox, Uroksyt, Cholerox, Letrox
Diana;Wójcik;polska;30.03.1962;Krzepice;62033096841;963665455;Gdańsk, ul.Bielańska 27/8;41;rozpoznanie grypy, rozpoznanie grypy, teleporada, szczepienie przeciw COVID;Exelix, Exelix,  Xarelto, Letrox, Uroksyt, Squlex
Diana;Chmielewska;polska;11.08.2011;Sulechów;11281143384;584443054;Gdańsk, ul.Biskupia 34/2;42;rozpoznanie zapalenia ucha, szczepienie przeciw grypie, rozpoznanie ospy, teleporada;Saturnox, Syropex,  Xarelto,  Xarelto, Strzykawex, Pigulex
Dorian;Nowak;polska;12.06.1981;Sopot;81061275677;672207239;Sopot, ul.Bitwy Oliwskiej 56/8;43;teleporada, rozpoznanie zapalenia oka, wizyta kontrolna, rozpoznanie grypy;Pythonex, Eltroxin, Dobrovit, Neurospam, Apaton, Apaton
Edyta;Kwiatkowska;polska;04.08.1997;Wieliczka;97080456083;623848821;Gdańsk, ul.Bitwy pod Płowcami 27/14;44;rozpoznanie zapalenia oka, rozpoznanie grypy, rozpoznanie zapalenia ucha, wizyta kontrolna;Cholerox, Siofor, Tabletex, Katarix, Siofor, Pythonex
Elena;Brzezińska;polska;06.10.1956;Witnica;56100680884;853462945;Gdańsk, ul.Bliska 1/18;45;rozpoznanie grypy, wizyta kontrolna, szczepienie przeciw COVID, rozpoznanie anginy;Luxon, Neptunox, Siofor, Strzykawex, Cholerox, Biegunex
Emilia;Krupa;polska;22.07.1951;Świdnik;51072228180;686357042;Gdańsk, ul.Boczna 5/5;46;rozpoznanie zapalenia zatok, wizyta kontrolna, rozpoznanie ospy, szczepienie przeciw COVID;Kaszelix, Zaparciovit, Squlex, Exelix, Syropex, Siofor
Emilia;Kwiatkowska;polska;02.10.1951;Żnin;51100292305;814020095;Gdynia, ul.Bogusławskiego 19/8;47;rozpoznanie zapalenia zatok, rozpoznanie zapalenia zatok, rozpoznanie zapalenia ucha, rozpoznanie anginy;Cholerox, Biegunex, Dobrovit, Uroksyt,  Xarelto, Nerwostop
Ernest;Piotrowski;polska;30.07.2014;Świnoujście;14273024991;782870154;Gdynia, ul.Grottgera 36/4;48;rozpoznanie ospy, rozpoznanie grypy, szczepienie przeciw COVID, wizyta kontrolna;Siofor, Neurospam, Modulox, Zaparciovit, Formetic, Apaton
Eustachy;Szymański;polska;28.05.1952;Wiązów;52052827698;789287738;Gdańsk, ul.Boh. Getta Warszawskiego 66/8;49;rozpoznanie zapalenia zatok, teleporada, rozpoznanie grypy, szczepienie przeciw grypie;Pythonex, Javonex, Javonex, Tabletex, Strzykawex, Eltroxin
Ewa;Wróblewska;polska;30.11.1976;Niemodlin;76113094649;953226712;Gdańsk, ul.Jana z Kolna 43/1;50;rozpoznanie grypy, wizyta kontrolna, teleporada, rozpoznanie zapalenia oka;Pythonex, Neurospam, Letrox, Cholerox, Pigulex, Sennostart
Faustyna;Wasilewska;polska;12.04.1973;Halinów;73041213243;527470005;Gdańsk, ul.Bora Komorowskiego 22/10;51;rozpoznanie zapalenia oka, szczepienie przeciw COVID, rozpoznanie anginy, rozpoznanie anginy;Apaton, Squlex, Formetic, Siofor, Neptunox, Exelix
Felicja;Kozłowski;polska;26.08.1947;Zakopane;47082686386;981021402;Gdańsk, ul.Hucisko 41/2;52;wizyta kontrolna, teleporada, teleporada, rozpoznanie grypy;Sennostart, Neptunox, Tabletex, Syropex, Saturnox, Javonex
Florencja;Błaszczyk;polska;05.02.2019;Toszek;19220574062;636076894;Gdańsk, ul.Bosmańska 47/19;53;teleporada, wizyta kontrolna, rozpoznanie anginy, rozpoznanie ospy;Pythonex, Nerwostop,  Xarelto, Zaparciovit, Szelazo, Zaparciovit
Florencja;Kowalska;polska;02.06.1971;Błażowa;71060238403;706129150;Gdańsk, ul.Braci Lewoniewskich 30/2;54;teleporada, szczepienie przeciw COVID, rozpoznanie zapalenia zatok, szczepienie przeciw COVID;Eltroxin, Modulox, Siofor, Squlex, Uroksyt, Sennostart
Franciszka;Baran;polska;10.06.2006;Nowy Tomyśl;06261063660;620206363;Gdynia, ul.Bracka 37/13;55;teleporada, rozpoznanie zapalenia ucha, rozpoznanie zapalenia oka, rozpoznanie ospy;Modulox, Zaparciovit, Nerwostop, Uroksyt, Dobrovit, Katarix
Gabriel;Duda;polska;29.06.1957;Słomniki;57062955131;912682430;Gdańsk, ul.Browarna 41/20;56;wizyta kontrolna, wizyta kontrolna, rozpoznanie grypy, teleporada;Sennostart, Exelix, Exelix, Strzykawex, Nerwostop, Saturnox
Gabriel;Mazurek;polska;09.05.1945;Choszczno;45050934477;639998910;Sopot, ul.Brukowa 21/16;57;szczepienie przeciw COVID, rozpoznanie grypy, rozpoznanie zapalenia zatok, rozpoznanie ospy;Exelix, Formetic, Nerwostop, Neurospam, Squlex, Formetic
Gniewomir;Michalak;polska;21.04.1946;Polanica-Zdrój;46042175812;604964523;Gdańsk, ul.Brygidki 4/7;58;rozpoznanie grypy, rozpoznanie zapalenia ucha, rozpoznanie grypy, rozpoznanie zapalenia zatok;Eltroxin, Exelix, Apaton, Pryszczosiox, Neptunox, Letrox
Gniewomir;Zawadzki;polska;24.02.1990;Lubliniec;90022420692;584067301;Gdańsk, ul.Brzegi 16/12;59;szczepienie przeciw grypie, rozpoznanie grypy, teleporada, szczepienie przeciw COVID;Dobrovit, Biegunex, Apaton, Kaszelix, Letrox, Nerwostop
Halina;Witkowska;polska;28.11.1961;Złotów;61112835966;887567786;Gdańsk, ul.Brzeźnieńska 47/4;60;szczepienie przeciw COVID, rozpoznanie ospy, szczepienie przeciw grypie, rozpoznanie zapalenia oka;Nerwostop, Pryszczosiox, Zaparciovit, Pigulex, Bezanielox, Syropex
Halina;Szewczyk;polska;08.02.1943;Kock;43020824883;802744221;Gdańsk, ul.Jastrzębia 8/15;61;wizyta kontrolna, rozpoznanie zapalenia oka, wizyta kontrolna, rozpoznanie zapalenia ucha;Szelazo, Neurospam, Luxon, Uroksyt, Kaszelix, Dobrovit
Hanna;Ziółkowska;polska;23.04.1947;Koprzywnica;47042394740;830133856;Gdańsk, ul.Jałmużnicza 10/1;62;teleporada, rozpoznanie grypy, rozpoznanie zapalenia ucha, rozpoznanie zapalenia zatok;Neurospam, Syropex, Formetic, Modulox, Dobrovit, Bezanielox
Helena;Błaszczyk;polska;27.03.1993;Gorzów Wielkopolski;93032746444;671573609;Sopot, ul.Jaśkowa Dolina 38/7;63;szczepienie przeciw COVID, rozpoznanie zapalenia oka, rozpoznanie ospy, szczepienie przeciw COVID;Strzykawex, Dobrovit, Cholerox, Apaton, Letrox, Kaszelix
Hortensja;Woźniak;polska;28.09.2000;Rejowiec;00292834644;617388120;Gdańsk, ul.Jelitkowska 26/18;64;rozpoznanie grypy, rozpoznanie ospy, szczepienie przeciw grypie, szczepienie przeciw COVID;Uroksyt, Sennostart, Uroksyt,  Xarelto, Uranox, Saturnox
