imie;nazwisko;narodowość;data urodzenia;miejsce urodzenia;pesel;numer telefonu;adres zamieszkania;identyfikator pacjenta
Ada;Kowalska;polska;03.10.1949;Wolin;49100324225;959116407;Gdańsk, ul.Polna 36/16;1
Adrian;Sadowski;polska;24.09.2002;Ruda Śląska;2292425730;628001920;Gdańsk, ul.Leśna 27/10;2
Agata;Głowacka;polska;24.05.1934;Mirosławiec;34052459444;821142421;Sopot, ul.Słoneczna 4/14;3
Aisha;Włodarczyk;polska;03.06.1980;Cybinka;80060316145;737263996;Gdańsk, ul.Krótka 58/12;4
Alana;Lewandowski;polska;25.06.1938;Buk;38062561445;686276650;Gdańsk, ul.Szkolna 27/7;5
Alana;Baranowska;polska;07.02.1946;Łabiszyn;46020768746;833201692;Gdańsk, ul.Ogrodowa 22/5;6
Aleks;Sadowska;polska;25.09.2003;Grajewo;3292518536;796941539;Gdynia, ul.Lipowa 63/14;7
Aleksandra;Pietrzak;polska;24.03.1995;Zelów;95032435849;918782215;Gdynia, ul.Łąkowa 15/3;8
Aleksy;Malinowski;polska;10.10.1955;Barwice;55101096852;809002338;Gdańsk, ul.Brzozowa 18/3;9
Alexander;Dąbrowski;polska;06.05.2010;Reda;10250632553;913506727;Gdańsk, ul.Kwiatowa 62/11;10
Alina;Tomaszewski;polska;19.06.2005;Margonin;5261940506;550606110;Gdańsk, ul.1 Maja 34/6;11
Alojzy;Kaczmarczyk;polska;29.06.2014;Witkowo;14262957453;665790146;Gdańsk, ul.Abrahama 12/16;12
Amanda;Sikorska;polska;09.09.1963;Radzyń Podlaski;63090921462;515645104;Gdańsk, ul.3 Maja 39/4;13
Anastazja;Przybylski;polska;03.07.1963;Sępólno Krajeńskie;63070338727;847992366;Gdańsk, ul.Nauczycielska 2/1;14
Anastazja;Lis;polska;08.07.1993;Miastko;93070844667;563290642;Gdynia, ul.Chopina 2/16;15
Anastazja;Krawczyk;polska;26.06.1936;Pieszyce;36062666184;682369399;Gdańsk, ul.Chłodna 2/16;16
Anastazy;Krawczyk;polska;19.02.1937;Lubliniec;37021956599;717774637;Sopot, ul.Abrahama 30/2;17
Anastazy;Wiśniewski;polska;05.10.1989;Wadowice;89100555751;734795116;Gdańsk, ul.Akacjowa 39/13;18
Anatolia;Maciejewski;polska;12.05.2020;Boguchwała;20251210463;782566310;Gdańsk, ul.Aksamitna 56/7;19
